,weight,sweetness,juiciness,acidity
1494,1,2,3,4
3073,1,2,3,2
823,2,3,2,5
2815,1,3,4,2
3562,1,3,3,3
791,1,4,2,4
712,2,2,2,5
2593,1,2,3,2
1848,2,2,5,4
1509,1,4,4,3
718,3,3,4,4
3938,1,2,5,5
2592,2,3,3,3
2935,2,2,2,2
1158,3,3,4,3
1231,3,2,2,5
2882,3,2,2,3
3865,1,2,3,2
1958,1,2,4,4
1257,2,3,5,3
1221,1,5,4,2
2004,2,3,3,3
2718,2,5,2,5
1180,1,3,2,2
2452,1,3,2,5
3860,1,2,5,5
3592,2,2,5,3
3265,2,3,2,3
2665,2,4,5,5
3993,1,5,2,2
1246,2,2,5,4
2780,1,3,2,2
3946,1,2,2,2
3487,1,4,3,3
9,1,5,2,4
1618,3,3,2,2
3556,2,5,2,3
3149,3,5,2,2
1284,1,5,3,3
3737,1,5,5,2
3306,1,5,2,3
2564,3,4,4,2
1740,3,2,2,2
1768,1,5,2,4
1868,2,5,2,5
2889,1,4,2,4
1170,2,3,2,3
134,3,4,2,5
3698,1,2,4,5
963,1,5,3,5
1840,3,3,4,2
542,3,2,2,2
493,1,3,2,2
2454,1,3,2,2
996,3,3,3,4
523,3,4,3,3
3161,1,3,2,2
1419,1,4,2,2
3689,3,5,4,2
1272,1,3,2,4
3918,3,2,5,5
785,1,3,5,3
3261,1,2,4,2
960,3,5,2,2
892,2,2,3,2
1342,1,4,3,2
1049,1,3,5,3
2652,2,5,4,3
1118,2,4,3,3
1370,3,4,2,3
3358,3,5,2,2
1697,1,3,5,2
2248,2,4,3,4
3818,1,3,2,3
1299,3,5,2,5
2969,3,3,3,4
1532,2,4,3,5
1314,2,5,2,5
1869,2,4,2,2
1410,2,2,2,4
2863,1,3,2,2
2155,3,2,5,4
3579,1,5,2,2
344,2,3,4,4
2688,3,3,2,3
3390,3,3,2,2
3674,1,2,3,2
2902,1,2,3,4
1076,1,2,2,4
1024,1,3,2,4
632,2,2,2,4
3372,1,5,3,4
1210,1,3,3,3
1663,3,2,3,3
1256,2,4,3,2
1820,3,2,4,3
217,1,2,3,4
2949,3,4,3,2
1787,1,2,2,2
411,2,4,4,2
194,1,3,2,2
3035,3,3,3,3
2337,3,2,4,4
1338,3,3,3,5
20,3,5,5,2
3112,3,3,4,3
249,2,2,4,2
2333,3,4,4,2
2858,2,4,3,3
3009,3,4,5,4
1505,1,3,3,2
2676,2,2,4,2
2372,1,2,4,3
1157,2,2,3,2
2298,1,2,3,3
3995,2,5,3,2
286,2,2,3,5
1507,3,3,2,2
96,3,3,5,3
2419,2,5,2,4
2852,3,4,3,5
2345,3,2,4,5
1258,2,2,2,5
2056,2,3,2,4
2504,2,4,2,2
386,1,2,4,4
2139,1,2,2,4
2087,3,2,2,3
2470,1,4,4,5
1646,3,5,2,2
2390,3,3,5,3
1751,2,3,3,2
1113,3,3,5,3
3638,3,3,4,4
599,1,2,3,4
1081,1,2,3,4
3527,2,5,3,5
1770,2,2,3,3
857,1,5,4,2
3768,3,5,4,3
984,1,3,2,2
1527,2,2,2,4
764,1,2,4,3
1556,3,5,4,3
1866,1,2,5,5
1094,1,3,2,2
79,2,3,2,3
133,3,3,2,3
3437,2,2,3,2
2267,2,3,5,4
1490,1,3,2,3
1831,1,4,2,2
2473,1,3,2,2
1065,3,2,5,3
2726,3,2,4,3
3199,1,3,2,4
2341,1,3,5,4
3419,1,3,2,3
889,3,5,2,3
3847,1,3,3,2
3136,1,2,2,2
2685,1,4,2,3
3405,3,3,4,2
529,1,4,4,2
1448,1,2,2,3
2276,3,2,3,4
273,2,3,3,2
3986,2,4,3,4
3243,1,5,4,2
2540,3,4,5,5
3336,2,4,4,3
1497,1,3,2,3
180,3,2,2,4
1097,1,2,3,3
2221,1,2,2,4
1407,2,2,2,3
132,1,4,2,2
3781,1,5,5,4
2876,3,3,2,4
3931,2,4,3,2
936,2,4,5,3
2464,2,2,5,4
505,1,5,3,3
3473,1,2,2,4
2353,3,2,2,2
280,2,5,3,2
1523,3,5,3,3
1458,3,5,2,2
1839,2,3,2,3
136,1,3,2,3
3524,1,3,2,4
2196,3,3,3,5
1228,3,4,2,2
112,3,3,5,3
154,3,2,3,4
3221,2,2,3,3
330,2,3,3,3
369,3,5,2,3
2635,1,2,2,3
2991,3,2,2,3
1120,1,4,5,2
1744,1,2,2,4
1042,2,2,5,3
3427,3,4,5,2
673,1,3,3,2
2936,3,2,4,5
2659,1,3,3,3
2657,1,2,4,2
69,3,3,4,5
1565,2,2,4,2
113,2,2,3,5
2302,1,5,4,3
994,2,2,3,3
2374,2,3,3,3
1166,2,2,4,3
3670,2,5,2,4
647,1,3,4,2
1339,3,2,3,2
3250,2,2,2,2
3030,1,5,2,4
1222,3,5,2,2
3039,3,2,2,4
2563,3,2,5,2
2779,3,4,3,3
592,1,2,3,4
746,3,3,5,5
1535,2,2,3,3
1722,2,2,3,4
3840,1,2,4,2
1924,1,2,4,4
2049,2,5,3,4
2708,2,5,3,2
430,1,5,5,3
1469,3,2,5,4
1747,1,4,2,5
3760,3,5,3,2
1791,2,2,5,2
1577,3,3,3,2
3423,1,2,2,2
1351,2,4,3,2
838,2,2,3,4
821,1,2,3,4
3924,1,5,4,5
685,1,2,4,2
2235,1,3,2,4
2777,1,2,3,4
3256,1,3,2,2
2098,1,5,2,5
2386,3,4,2,5
1467,1,2,2,3
3634,2,2,4,5
577,1,4,4,2
1038,2,4,3,4
1739,3,4,3,3
183,2,3,2,4
724,1,3,2,5
11,1,3,4,3
100,1,2,3,2
2586,2,3,4,3
3123,1,2,2,2
2382,3,3,4,3
2999,2,2,3,3
2264,1,2,3,2
3380,3,3,5,4
2644,3,2,4,5
317,1,5,3,5
1172,2,2,2,4
200,2,3,3,3
76,2,5,3,2
2572,1,4,2,3
2727,2,3,4,2
2505,2,3,3,4
1245,3,5,5,3
558,2,3,3,4
3066,2,2,4,5
3806,2,5,5,3
594,1,3,2,2
3519,1,2,3,3
710,3,3,2,5
2774,1,2,2,2
1962,1,3,4,3
2093,3,4,2,5
1920,3,3,3,2
2716,2,2,2,5
1154,1,2,4,5
3897,1,3,2,3
3102,2,3,4,4
2414,3,2,2,2
2324,2,5,3,2
919,1,4,2,3
1871,1,5,3,5
2552,1,3,3,5
495,2,2,3,4
2533,1,3,3,5
3657,1,3,3,2
814,2,2,3,3
1044,1,4,5,3
256,2,2,2,3
2983,2,3,2,4
1903,2,5,4,3
1167,3,4,2,3
467,2,3,3,3
2570,3,2,2,4
3699,1,2,3,3
1700,1,3,3,2
4,2,2,5,2
2261,2,4,3,2
3703,1,3,3,2
3773,1,4,4,2
866,1,3,3,3
1741,1,3,2,2
1998,1,2,3,2
3572,1,5,2,3
3319,2,3,2,2
2808,2,3,2,2
2578,2,2,2,2
3197,2,2,4,5
2044,1,4,3,4
2293,1,2,2,2
1842,1,2,3,4
576,1,2,2,2
2212,1,2,2,2
3611,2,3,3,2
1416,2,2,3,5
611,1,2,4,2
3863,3,2,2,2
2558,3,3,4,4
3759,3,3,2,2
2776,2,5,2,3
3088,3,3,3,5
3299,1,2,5,5
1251,3,2,2,2
2844,3,2,5,5
3663,1,4,2,4
3276,1,2,2,3
564,1,4,4,2
915,3,4,2,4
3115,3,3,3,2
1402,1,2,4,2
3461,2,5,2,4
291,2,2,3,2
2929,2,3,5,5
3391,3,2,4,4
507,3,4,2,2
1422,1,4,3,5
35,3,5,3,2
2917,1,2,2,3
2173,2,4,2,3
2000,1,3,2,4
3604,1,4,4,5
1620,2,5,4,4
3307,2,2,3,2
3460,3,3,4,4
3949,3,3,2,5
218,2,2,2,2
584,2,3,2,2
2730,1,2,2,3
714,1,4,4,2
1016,3,3,5,2
3700,1,3,3,4
2966,2,2,3,4
600,3,4,2,2
3899,1,4,3,3
3998,2,4,4,4
3756,3,3,3,3
1942,2,2,2,3
1488,1,4,2,2
1874,3,2,2,2
1930,3,2,3,5
3845,1,3,2,2
3905,2,5,4,5
3681,2,3,5,3
2732,1,2,4,3
438,3,2,5,4
681,1,2,3,3
763,2,3,2,3
3954,1,5,4,4
2914,2,4,3,5
3354,2,5,3,3
2459,1,2,2,2
650,3,4,4,2
2626,2,2,4,2
1562,1,3,2,4
276,3,2,3,5
3331,1,2,4,4
1753,3,2,2,4
2027,1,5,3,2
3676,1,5,2,3
1855,2,2,3,3
492,3,3,5,2
3994,3,2,3,3
2283,1,2,2,2
2415,1,3,2,2
992,1,3,3,2
1067,1,5,2,2
1888,1,2,2,2
1008,2,4,5,2
2835,2,3,4,4
2032,1,2,4,3
913,1,2,5,3
323,2,4,4,2
2686,2,2,4,3
2853,1,3,5,3
367,3,4,2,3
1482,2,2,3,4
3929,1,4,2,3
2739,3,3,3,5
3418,1,2,3,2
3567,1,2,3,3
310,2,3,5,5
2136,1,2,3,4
1151,1,4,3,2
2956,2,5,4,3
165,2,2,2,3
1329,2,3,4,2
237,2,2,3,2
510,2,3,4,2
1211,2,4,3,3
3810,3,5,2,3
1821,2,2,4,2
1986,2,4,2,3
1203,3,3,4,5
2704,2,3,4,5
1148,3,3,3,2
3746,3,4,5,2
3472,1,3,2,2
1657,2,4,4,2
2294,1,2,3,3
3983,2,5,4,4
2582,3,3,4,3
3548,2,2,2,2
781,1,3,2,4
619,1,2,3,4
2281,3,2,5,5
2721,3,2,5,4
3128,3,5,3,2
669,1,2,3,4
2429,1,2,4,5
2413,2,2,3,4
2468,3,3,4,2
474,2,3,2,4
634,1,2,5,5
836,1,3,5,2
2890,3,4,4,3
262,1,3,3,5
66,3,2,5,2
2911,3,2,4,3
1788,3,4,4,2
1984,1,5,3,2
870,1,2,3,4
2030,3,2,3,4
3630,2,5,2,4
2775,1,2,3,4
3926,2,3,2,5
863,1,2,2,2
2553,1,4,2,3
328,3,3,5,3
3570,3,3,5,2
2431,1,2,4,3
2029,2,2,2,2
1611,1,2,3,3
1108,3,5,4,2
2354,3,4,4,2
3850,2,2,2,3
3301,2,2,3,3
2985,2,2,5,4
3862,1,5,3,2
1220,3,2,2,2
1689,1,3,4,5
260,1,3,5,2
3247,3,2,2,4
1808,1,2,4,5
1362,3,2,5,3
2759,2,2,2,2
1043,2,3,4,2
769,2,3,4,2
1625,3,2,2,2
1705,3,3,3,2
3018,1,2,2,4
2233,2,3,3,4
3921,2,4,5,4
754,2,5,3,4
2110,1,3,2,2
3234,2,2,2,3
2329,3,2,3,2
1605,1,2,2,4
3690,1,2,3,5
3999,2,2,3,3
2799,2,2,2,2
2105,2,2,4,4
288,2,5,2,5
226,2,3,2,3
1995,1,2,2,3
954,3,3,2,3
1767,3,5,2,5
544,1,2,3,4
3021,2,3,3,3
3465,3,5,2,4
1218,3,4,5,2
1512,2,4,5,5
3340,2,2,5,2
1198,2,2,3,2
1107,3,2,3,3
688,2,2,3,2
2077,2,4,3,2
1952,2,2,4,2
2535,2,3,2,2
3303,1,3,3,2
2084,1,3,2,4
1162,2,3,3,2
3902,1,3,2,3
3180,2,2,3,3
3712,2,5,2,4
3713,3,2,3,2
2391,2,2,3,4
3439,3,5,2,2
2550,2,3,2,4
2095,3,2,4,3
2784,3,3,5,4
348,1,2,2,4
1766,1,3,4,3
1437,1,3,2,3
331,1,3,3,5
156,1,5,2,3
1337,2,2,4,2
2647,3,5,3,2
3833,2,3,3,3
1513,2,2,4,2
3384,1,2,2,4
1654,1,3,4,2
1510,3,3,5,4
87,1,2,3,3
42,3,3,2,3
163,1,4,2,3
1988,1,2,2,2
1629,3,5,4,3
3101,2,4,2,2
2365,2,5,5,2
5,2,3,5,4
1817,2,2,2,3
1280,2,3,4,5
1886,2,3,5,2
2215,1,2,3,2
1927,1,2,2,3
21,1,3,3,4
752,3,2,3,2
3082,2,4,2,3
775,3,5,3,2
2829,2,2,3,3
3253,1,3,3,2
3322,1,2,4,4
991,1,2,2,5
1022,1,5,3,2
2357,2,2,3,4
1582,3,2,2,2
3589,2,2,2,4
1372,2,2,2,2
2001,1,5,5,4
3357,2,5,3,3
921,2,4,3,2
2918,3,2,2,3
335,1,2,3,2
2833,3,2,5,5
2602,3,2,3,2
213,1,2,5,5
3505,1,2,2,2
661,2,2,3,2
3923,3,3,2,5
2765,2,5,3,4
3511,1,3,3,2
2008,2,5,4,4
1318,2,3,2,3
2871,2,2,2,2
1972,2,4,2,4
2982,2,3,4,3
178,2,3,3,2
3281,1,2,3,2
607,2,2,3,3
3723,1,2,4,3
1206,1,4,5,3
3975,3,2,2,5
3733,2,3,2,4
3051,1,3,2,4
2881,3,2,4,3
2656,1,5,3,3
2646,1,2,3,5
2013,1,5,4,3
3267,3,3,5,2
922,2,3,4,4
59,1,3,4,3
3530,2,2,4,5
2783,1,2,4,3
247,3,2,3,2
3811,3,4,3,5
303,3,2,3,2
287,2,3,4,2
3661,1,2,2,3
1672,3,3,4,5
1931,2,5,5,5
520,2,3,3,2
1644,3,2,5,4
3626,1,2,3,2
1520,1,5,2,3
1837,3,4,2,4
2789,3,2,2,2
1573,1,3,3,2
3275,1,4,4,2
3154,2,4,2,4
699,1,4,3,3
3753,1,4,2,3
3061,1,3,3,2
3883,1,3,2,3
2047,3,2,2,5
2455,1,3,2,2
3839,2,2,4,4
3696,2,2,2,3
2053,3,3,3,2
403,1,2,3,3
25,3,3,4,5
3013,3,2,2,5
1394,3,2,3,2
1993,1,2,5,3
2423,1,4,5,2
1039,3,2,4,4
2014,3,2,5,3
3932,3,4,5,2
3908,3,4,4,3
219,3,4,2,3
3566,1,2,4,3
1292,1,3,2,2
707,2,2,3,4
242,1,5,3,2
2613,3,3,2,3
3927,1,5,2,4
3248,2,2,3,4
2518,3,3,3,5
316,2,3,3,3
2425,1,2,2,3
3771,3,2,4,5
3233,2,5,3,5
1895,2,2,3,3
3913,3,5,3,2
1425,1,2,3,2
3491,1,2,2,3
1,3,5,2,2
3984,1,2,4,2
3127,1,3,2,4
3502,1,4,4,3
1184,2,2,3,4
2820,2,3,3,2
3751,1,2,3,3
1087,3,4,2,2
625,3,4,3,3
3177,3,5,3,3
2400,1,4,3,2
436,1,2,5,5
2081,2,4,3,3
1906,3,2,3,3
1212,3,5,4,3
912,3,3,3,2
3757,1,3,2,2
2709,1,5,3,3
3635,3,2,3,5
3583,2,4,2,5
1779,3,5,4,4
449,3,2,3,3
1792,1,3,4,3
698,2,4,3,4
3727,2,4,2,4
31,1,4,5,4
768,1,4,2,2
395,1,2,2,3
3355,3,5,3,2
2119,3,5,3,2
314,2,4,3,3
3880,2,3,5,2
1610,2,2,4,5
1811,1,2,4,2
1922,1,4,3,3
2513,1,2,3,2
500,3,2,4,5
266,1,2,2,4
731,2,2,2,2
2878,1,3,3,3
3597,3,2,3,2
3442,1,2,5,5
27,1,4,2,4
272,1,2,5,4
228,2,2,4,3
1558,3,3,5,5
3688,3,2,2,2
771,2,2,4,3
975,1,3,5,4
3020,3,3,3,5
3587,3,3,2,4
2152,3,3,3,2
2641,1,2,4,2
3480,2,2,4,3
1955,3,2,5,5
209,2,5,2,4
1936,1,3,4,2
1934,3,5,5,3
1844,1,2,4,4
3421,2,2,4,4
3952,2,2,3,4
2800,1,4,4,2
708,3,2,3,4
1935,2,5,2,3
635,1,4,3,3
240,3,3,3,4
2346,2,2,4,4
3147,2,2,2,4
1749,3,5,3,2
944,2,3,3,2
3499,1,4,2,3
1397,3,2,4,3
3740,3,3,3,3
2426,3,2,5,3
1643,1,2,2,2
3776,2,3,3,5
572,3,4,2,3
3431,3,3,4,5
211,2,3,2,4
1680,1,2,4,2
499,1,2,3,2
2615,1,4,2,2
2544,3,5,5,5
2821,1,2,3,2
1004,3,5,5,2
3170,3,3,3,2
2282,1,3,2,4
1606,2,3,4,4
2975,2,5,5,3
533,2,2,4,2
1545,2,2,2,3
658,1,3,3,2
3571,1,2,4,4
2715,3,3,5,5
2502,3,5,2,4
268,2,2,2,2
1525,3,4,3,3
2782,3,4,5,5
2701,1,2,3,2
227,3,5,5,5
3584,2,2,4,2
1800,2,3,3,2
930,1,5,2,2
2522,3,4,3,2
2086,1,2,3,5
3156,2,3,4,3
888,2,2,3,2
3379,2,2,3,2
2206,3,2,4,4
744,3,3,2,3
1023,3,3,2,2
150,3,2,4,3
2418,2,2,4,5
2465,2,5,2,3
608,3,3,4,2
896,3,4,2,3
2363,3,2,3,4
1378,2,3,4,5
897,1,3,2,5
1622,1,3,5,5
2100,1,5,2,2
1718,2,2,3,2
2499,3,4,2,2
2450,2,4,4,4
1640,2,2,2,2
3912,1,3,3,4
1366,2,3,4,5
3194,3,3,2,5
3070,2,2,2,2
191,1,5,4,2
2521,3,3,2,2
3200,2,3,3,3
3834,1,2,3,2
3541,3,3,2,2
676,3,3,5,3
3629,2,4,2,2
1875,2,4,2,3
825,1,5,2,2
1889,1,3,3,3
1692,3,4,2,3
3185,1,2,3,3
164,1,3,2,2
2819,3,3,4,5
3678,1,3,2,2
1009,1,2,5,3
1459,3,4,3,4
3886,2,2,4,3
2143,1,2,4,3
3767,1,2,3,3
1474,2,4,3,2
3475,3,5,2,2
3849,1,2,4,2
864,1,2,3,3
1159,2,2,3,2
678,2,5,2,4
1325,2,3,2,5
1979,2,3,3,4
3332,1,3,2,3
2443,3,4,5,4
2251,2,3,5,3
1045,3,2,5,3
2710,2,3,3,3
3140,1,2,3,5
3655,1,2,3,3
1294,2,3,2,4
2811,2,3,3,3
871,2,3,5,5
2755,3,4,5,3
3126,1,3,2,2
1794,3,5,4,4
914,2,3,2,5
1655,3,5,3,4
3517,1,5,3,2
1827,2,3,4,5
3726,2,2,3,2
2186,2,2,3,5
737,1,2,4,2
3054,1,5,2,2
190,2,3,2,2
1444,1,3,3,2
1517,1,2,2,4
432,1,2,4,2
3752,1,3,2,2
2920,2,2,4,3
1430,1,3,4,3
13,2,4,2,3
2007,1,2,3,4
1607,2,2,2,2
1632,1,4,3,3
3996,2,2,2,3
2269,2,2,4,3
2642,3,4,4,2
2584,1,3,2,2
1071,3,4,2,3
1546,3,4,5,5
203,1,5,2,2
1446,3,3,5,2
2980,2,3,2,5
649,2,5,3,3
891,3,3,2,4
2209,1,2,2,5
1345,2,4,3,2
1845,2,2,2,3
3351,3,2,5,3
2507,1,5,3,3
3,3,3,5,2
3853,1,2,3,2
3685,2,2,3,2
371,2,5,3,4
3991,3,2,3,5
2694,1,3,2,5
527,1,3,2,3
3067,2,4,3,2
68,1,3,2,2
585,1,4,2,2
44,3,4,2,4
1825,2,3,3,4
948,1,2,2,3
97,1,3,5,5
609,2,4,2,2
2555,1,2,5,5
3961,1,3,3,2
2809,1,2,3,4
2988,2,2,5,5
2103,3,3,3,5
143,1,2,2,2
3577,3,2,2,2
383,3,2,4,2
3965,2,4,3,5
2619,1,2,3,3
1907,1,2,3,3
1230,2,3,2,4
189,2,3,3,2
1122,2,3,5,3
2790,3,4,2,3
3448,2,2,2,3
2720,1,3,4,3
3673,1,3,2,4
1540,1,4,2,2
626,3,3,4,5
2660,3,3,3,4
3109,1,2,3,3
72,2,5,4,3
2603,2,3,5,4
1393,1,2,2,2
400,1,3,4,3
2202,1,2,2,2
2497,2,3,4,2
988,3,2,4,2
3889,1,3,2,2
3205,3,2,4,5
1557,1,3,3,3
3466,3,2,2,2
1511,1,4,5,2
251,1,2,5,5
750,2,2,5,2
3605,1,2,4,3
1790,2,2,4,3
971,2,5,4,4
1194,2,2,2,5
3338,1,4,2,2
3011,2,3,5,2
2512,1,3,4,4
1917,2,2,4,2
610,2,3,2,3
3928,2,2,2,2
2115,3,4,5,5
278,3,3,2,2
3381,2,3,2,4
2117,3,5,2,2
1880,1,2,3,3
613,2,3,3,5
665,3,3,3,3
2059,1,4,2,2
3573,3,2,5,2
52,3,5,2,2
1263,3,5,3,2
290,1,3,3,5
1190,1,5,5,3
3576,1,2,3,2
364,2,2,2,5
508,3,3,2,3
3803,3,3,2,5
295,1,3,2,4
1641,2,2,2,2
3159,1,3,3,4
2609,1,2,3,5
1202,1,3,4,5
424,1,4,3,4
3540,2,3,3,4
2369,2,4,3,4
24,2,2,5,3
46,1,2,3,5
1890,1,4,2,3
526,3,2,5,3
1249,1,2,4,5
1941,3,4,5,2
3747,1,5,3,3
2580,2,2,3,2
2198,1,5,2,2
255,1,2,3,2
2352,2,3,5,3
511,2,3,2,5
709,2,2,3,4
2515,3,2,3,4
1347,1,2,2,2
3603,3,3,5,3
17,3,2,3,3
2900,3,3,2,4
2724,2,3,4,5
3873,3,3,3,4
1413,2,3,3,4
2471,2,2,3,5
2295,3,3,3,5
2758,1,3,3,4
2653,1,4,2,3
3315,1,2,3,5
2978,1,2,4,4
902,2,4,2,5
2082,2,4,2,3
2094,3,4,2,4
743,1,3,2,3
3906,1,2,2,2
1239,2,3,5,2
1060,2,2,5,3
3031,3,5,2,5
591,1,2,2,5
1601,3,5,3,2
1138,1,3,3,3
843,2,2,3,4
2043,3,3,3,3
3814,1,5,5,3
1758,1,4,3,3
1050,3,3,2,2
770,2,2,2,4
2225,3,2,2,2
445,1,2,2,2
3792,2,2,2,3
1371,1,3,2,3
201,1,4,4,5
470,2,3,2,2
1238,2,5,3,5
1401,1,3,3,3
1255,1,4,2,3
2614,2,4,3,2
3650,3,4,4,5
2373,1,3,2,5
3452,1,3,2,2
2662,3,2,5,5
3782,1,3,4,4
3985,1,3,3,3
104,1,3,2,4
275,3,3,3,2
3251,3,5,4,5
1069,1,4,5,2
1727,2,2,2,4
2695,1,3,3,2
2250,1,2,2,2
1785,3,2,2,2
2893,3,5,4,2
2204,3,3,2,2
3057,3,3,3,5
3005,1,4,3,4
3329,1,3,2,2
3591,3,2,3,2
974,3,3,5,4
3882,2,2,4,3
1508,1,4,2,4
1865,2,2,4,3
552,3,3,4,5
3510,2,3,3,3
3525,3,5,2,2
2307,2,5,2,2
1961,1,2,4,3
2203,2,5,3,2
3748,2,4,5,2
829,2,3,2,2
1538,2,2,5,5
2147,1,5,2,2
2629,1,5,4,5
3411,1,4,2,2
873,2,5,3,4
2529,3,2,3,5
2216,1,4,2,2
1783,2,5,2,5
1293,2,2,3,2
3790,1,2,3,2
2005,1,3,3,5
3894,1,2,2,3
356,3,2,2,2
2630,2,4,3,2
3478,1,3,2,3
3008,2,5,2,2
1139,1,2,3,2
1420,3,2,2,2
1361,1,5,3,2
2364,2,2,2,3
3887,2,4,3,3
3972,1,2,2,2
2977,1,3,4,5
1660,2,5,3,3
602,1,2,2,3
514,1,2,2,2
3182,3,4,2,2
683,3,2,4,3
3876,1,3,4,3
2698,1,2,2,4
3429,1,4,2,4
3641,3,3,3,3
1112,1,3,4,2
2185,1,4,2,4
3729,2,4,5,2
931,1,2,3,3
3428,1,5,3,4
187,2,3,2,3
1588,2,2,2,3
3780,3,5,3,4
3160,3,2,2,3
672,3,4,4,2
701,1,4,5,3
484,3,2,5,4
3106,1,3,2,2
3644,1,2,5,5
3373,2,4,2,2
2339,1,3,3,4
2761,1,4,2,2
3166,1,2,3,3
3458,3,2,3,3
1053,2,3,2,2
1156,1,2,4,2
2561,3,3,4,4
927,3,4,5,4
2963,1,3,2,2
816,3,2,5,3
2738,1,3,4,4
3930,1,4,2,5
1948,2,3,3,2
1137,1,3,3,2
2290,2,2,4,2
2887,1,3,4,3
1236,2,4,4,3
998,1,2,3,2
241,2,5,3,5
730,2,3,4,3
2316,3,4,3,2
3477,3,5,5,3
1066,1,3,2,3
3561,1,3,2,3
3093,3,3,5,3
1261,1,4,2,2
3134,3,5,3,3
3098,2,2,3,2
3028,3,4,5,4
1412,3,2,4,3
1101,3,3,2,4
1163,3,2,2,5
1253,2,5,2,2
1409,2,3,2,3
3919,3,2,2,2
3702,1,5,3,4
1478,1,2,5,5
3742,3,2,3,4
817,1,2,5,3
648,1,2,2,3
2071,2,4,2,2
1449,2,2,2,2
171,3,3,2,4
1286,3,5,5,2
3184,1,2,2,5
3415,1,3,4,2
3408,3,2,3,2
2090,1,4,3,2
1642,1,2,2,4
2260,2,4,3,3
1911,1,2,2,4
1587,1,4,2,4
1147,3,5,4,3
3371,1,3,2,2
142,1,4,4,2
1423,3,4,4,5
1062,1,5,2,5
339,3,2,2,5
2130,2,2,2,2
1652,2,4,5,5
3973,3,2,3,5
721,2,2,5,4
1793,1,2,2,2
941,1,3,4,2
1383,2,4,5,2
3333,2,3,3,2
1684,2,4,4,3
3569,1,2,5,3
2176,3,2,3,3
2134,1,5,4,2
2705,3,3,2,4
277,1,2,4,4
1440,2,2,2,3
216,1,2,2,2
2796,1,2,5,4
569,2,3,3,3
3787,1,2,3,4
3270,3,2,3,2
321,1,4,3,2
417,3,3,3,5
2645,1,3,2,3
1612,1,2,3,3
3623,1,3,2,5
3554,2,2,2,4
2483,2,2,5,3
2042,1,2,2,3
2933,2,2,3,2
1233,2,3,4,3
3520,3,2,4,2
792,3,2,3,5
1762,2,2,2,2
2528,1,4,3,3
2268,1,2,2,2
3937,1,5,3,2
3347,3,3,3,3
1481,3,3,2,2
977,1,4,3,2
795,3,3,5,4
2006,1,2,5,4
2444,1,3,3,3
2226,1,2,2,2
924,2,4,3,5
1978,2,3,4,4
3065,2,4,2,3
2508,1,2,3,3
1498,2,3,2,2
3078,2,3,2,2
174,2,4,3,5
2915,1,4,4,3
1309,1,3,2,2
378,2,3,2,2
1637,2,4,5,3
2410,2,5,5,4
835,3,3,3,3
354,3,2,5,3
2608,1,3,4,4
172,1,2,2,2
123,2,3,4,2
1141,2,2,3,2
2792,1,2,3,3
1145,2,3,2,4
2262,2,3,5,3
2500,2,3,3,2
2495,2,3,3,2
2856,1,3,5,4
758,2,2,2,4
1348,2,5,2,3
252,1,3,3,4
3504,1,2,3,3
2451,3,5,2,3
2867,2,5,4,3
3398,2,2,5,5
2405,2,4,4,2
3343,1,3,2,2
2482,3,2,5,5
803,2,2,4,3
2684,2,2,4,2
1648,1,5,2,5
2058,3,5,2,2
2877,1,3,3,2
2102,1,5,5,2
1223,1,3,5,5
1031,1,3,2,4
1991,1,2,3,4
2402,1,4,5,2
2188,2,3,3,3
2,2,3,4,4
990,1,3,3,2
3613,1,4,2,2
642,1,2,5,4
906,2,5,5,3
1596,1,3,2,2
205,3,3,3,3
3086,1,2,2,4
3369,1,2,3,2
3535,1,3,4,2
2200,2,3,3,5
800,3,2,3,3
2913,2,3,4,3
1304,2,2,3,2
3495,1,2,2,2
1990,2,2,4,2
2232,3,5,5,3
3772,3,2,3,2
1584,1,2,2,2
2240,3,4,4,3
1772,3,3,5,5
797,2,5,3,2
1693,1,3,2,2
2467,2,4,2,3
561,3,2,3,3
3413,1,3,4,5
2524,1,2,3,4
2764,1,3,3,2
3222,1,2,2,3
1965,2,2,3,4
2857,3,2,3,3
2466,1,2,3,4
2824,3,5,4,4
851,3,2,4,5
1543,3,4,5,3
2750,1,2,2,3
454,3,5,2,2
3010,2,3,5,2
3565,3,4,4,3
1185,2,3,3,3
2634,2,4,2,3
1019,1,4,3,3
1168,1,5,3,3
3241,2,5,4,2
928,1,3,2,2
3683,3,4,4,5
28,2,3,2,3
1551,3,2,5,5
3627,3,3,3,2
1404,2,4,3,2
3447,2,2,3,2
381,2,2,2,5
1896,1,2,4,2
2618,1,3,5,5
1171,2,3,3,3
911,3,2,2,3
679,3,3,4,2
3545,2,2,2,4
3528,2,5,2,2
3292,3,4,5,2
2222,1,4,3,2
1291,3,4,3,2
1099,1,3,5,3
2531,1,3,2,2
2707,2,2,5,3
834,3,3,3,2
1669,3,2,5,3
1436,3,3,4,2
767,1,2,4,2
2054,3,4,4,5
1688,3,3,2,3
1250,1,2,2,4
3287,3,2,5,4
98,1,4,5,4
3320,3,2,3,3
788,2,4,3,4
2153,2,2,2,4
1719,3,3,4,4
756,1,3,2,2
951,1,3,2,4
761,3,4,3,2
118,2,2,4,4
206,1,2,5,3
2160,1,3,4,2
2576,3,2,3,3
